Actions,Actiuni
Add Answer,Adauga raspuns
Add New Answer,Adauga raspuns nou
Add New Poll,Adauga chestionar nou
Answer Title,Titlu raspuns
Answer Title:,Titlu raspuns:
Answer with the same title in this poll,Raspuns cu acelasi titlu in chestionar
Are you sure you want to delete it?,Sigur vrei sa-l stergi?
Assigned Answers,Raspunsuri alocate
Closed,Inchis
Community Poll,Chestionar
Date Closed,Data inchiderii
Date Posted,Data postarii
Delete,Sterge
Delete Answer,Sterge raspuns
Delete Poll,Sterge chestionar
Disallow Voting in a Poll Multiple Times from Same IP-address,Nu permite votarea intr-un chestionar de mai multe ori de pe aceeasi adresa IP.
Edit Answer '%s',Modifica raspuns '%s'
Edit Poll '%s',Modifica chestionar '%s'
Edit Poll Answer,Modifica raspuns chestionar
ID,ID
Invalid Answer.,Raspunsul nu este valid.
New Poll,Chestionar nou
Number of Responses,Numar raspunsuri
Open,Deschis
Poll Answers,Raspunsuri chestionar
Poll Information,Informatii chestionar
Poll Manager,Administrator chestionar
Poll Question,Intrebare chestionar
Poll information,Informatii chestionar
Poll with the same question,Chestionar cu aceeasi intrebare
Polls,Chestionare
Save Answer,Salveaza raspuns
Save Poll,Salveaza chestionar
Status,Stare
The answer has been saved.,Raspunsul a fost salvat.
The poll does not exist.,Chestionarul nu exista
Unable to find an answer to delete.,Nu s-a putut gasi un respuns de sters.
Visible In,Vizibil In
Vote,Voteaza
Votes Count,Numar voturi
Votes Count:,Voturi totale:
Poll not exists,Chestionarul nu exista
Unable to find answer to delete.,Nu s-a gasit raspuns de sters.
Invalid Answer,Raspuns nevalid
Answer was successfully saved,Raspunsul a fost salvat cu succes.
