%value%' appears to be a DNS hostname but cannot extract TLD part,'%value%' pare a fi  un domeniu dar nu se poate extrage partea TLD
%value%' appears to be a DNS hostname but cannot match TLD against known list,"'%value%' pare a fi un domeniu, dar TLD-ul nu corespunde cu lista cunoscuta"
%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%',"'%value%' pare a fi un domeniu, dar schema pentru TLD '%tld%' nu corespunde cu hostname-ul"
%value%' appears to be a DNS hostname but contains a dash in an invalid position,"'%value%' pare a fi un domeniu, dar contine o linie de despartire intr-o pozitie nevalida"
%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded,"'%value%' pare a fi un domeniu, dar notatia punycode data nu poate fi decodata"
%value%' appears to be a local network name but local network names are not allowed,'%value%' apare ca fiind un nume de retea locala dar numele de retea locala nu sunt permise
"%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' apare ca fiind o adresa IP, dar adresele IP nu sunt permise"
%value%' does not appear to be a valid local network name,'%value%' nu apare ca fiind un nume de retea locala valid
* Required Fields,* campuri obligatorii
ALL GROUPS,TOATE GRUPURILE
Account Dashboard,Panou control cont
Account Information,Informatii cont
Account Sharing Options,Optiuni partajare cont
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Confirmarea contului este necesara. Va rugam, verificati-va e-mail-ul pentru link-ul de confirmare.Pentru a retrimite e-mail-ul de confirmare, va rugam <a href=""%s"">click aici</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Confirmarea contului este necesara. Va rugam, verificati-va e-mail-ul pentru link-ul de confirmare.Pentru a retrimite e-mail-ul de confirmare, va rugam <a href=""%s"">click aici</a>."
Action,Actiune
Add New Address,Adauga adresa noua
Add New Customer,Adauga client nou
Add New Customer Group,Adauga grup de clienti nou
Added From,Adaugat din
Additional Address Entries,Intrari adrese suplimentare
Address,Adresa
Address Book,Agenda
Address Books,Agende
Address Information,Informatii adresa
Address Templates,Sabloane adresa
Addresses,Adrese
Admin,Admin
All,Toate
All Store Views,Toate vitrinele magazinului
All countries,Toate tarile
Always optional.,Intotdeauna optional.
Amount,Suma
An error occurred while deleting the address.,A aparut o eroare in timpul stergerii adresei.
An error occurred while retrieving the option value: %s.,A aparut o eroare in timpul recuperarii valorii optiunii: %s.
"An error occurred while saving the collection, aborting. Error: %s","A aparut o eroare in timpul salvarii colectiei, se anuleaza. Eroare: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Un ID de optiune nevalid specificat pentru %s (%s), se omite inregistrarea."
Approved,Aprobat
Are you sure that you want to remove this item?,Sunteti sigur ca doriti sa stergeti acest articol?
Are you sure you want to cancel adding of this address?,Sunteti sigur ca doriti sa anulati adaugarea acestei adrese?
Are you sure you want to delete this address?,Sunteti sigur ca doriti sa stergeti aceasta adresa?
Are you sure?,Sunteti sigur?
Array of Entity collections is expected.,Se asteapta un array de colectii.
Assign a Customer Group,Aloca un grup de clienti
Average Sale,Vanzari medii
Back,Inapoi
Back - link to the previously viewed page,Inapoi - link catre pagina vizualizata anterior 
Back to Login,Inapoi la Logare
Bad request.,Cerere eronata.
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Conform cu ID TVA, clientul ar apartine grupului de clienti %s."
Bill to Name,Factureaza pe numele
Bought From,Cumparat de la
